"last_name, first_name","player_id","year","ab","pa","home_run","k_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","woba","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent","whiff_percent"
"Kepler, Max",596146,2023,438,491,24,21.6,".260",".484",".332","0.816","0.224",".288","4",".348","72.3","7.5","91.9","14.7",35.7,12.2,8.6,19.8
"Kirilloff, Alex",666135,2023,281,319,11,25.1,".270",".445",".348","0.793","0.175",".337","7",".343","70.3","7.5","88.6","12.4",40.2,7.4,8.3,27.6
"Doyle, Brenton",686668,2023,399,431,10,35,".203",".343",".250","0.593","0.140",".295","4",".257","71.2","7.2","88.3","11.7",29.9,8.7,4.3,35.8
"Rivas, Leo",660844,2024,73,86,0,27.9,".233",".274",".333","0.607","0.041",".347","1",".282","66.4","7.1","87.2","12.6",45.1,2,2,25.5
"Caminero, Junior",691406,2024,165,177,6,21.5,".248",".424",".299","0.723","0.176",".289","1",".309","77.2","8.3","89.7","6.8",25.2,11.8,3.1,31.7
"Sheets, Gavin",657757,2024,451,501,10,21.2,".233",".357",".303","0.660","0.124",".281","4",".291","72.7","7.6","87.8","13.5",41.1,5.7,6.3,23
"Ramos, Heliot",671218,2023,56,60,1,33.3,".179",".304",".233","0.537","0.125",".257","0",".236","75","7.2","90.9","13.4",30.6,13.9,5.6,31.5
"Morel, Christopher",666624,2024,535,611,21,26,".196",".346",".288","0.634","0.150",".233","10",".280","76.1","8","89.2","14.2",27.6,10.2,4.5,34.1
"Doyle, Brenton",686668,2024,542,603,23,25.4,".260",".446",".317","0.763","0.186",".316","3",".328","70.9","7.4","89.2","13.2",37.4,10.5,6,29.8
"McNeil, Jeff",643446,2023,585,648,10,10,".270",".378",".333","0.711","0.108",".288","18",".314","68.2","6.9","86","14.4",32.1,1.3,5.7,13.5
"García, Luis",671277,2023,447,482,9,12.4,".266",".385",".304","0.689","0.119",".286","0",".297","71.2","7.2","88.3","4.6",31.9,5.8,6.3,17.9
"Duran, Ezequiel",677649,2023,406,439,14,27.3,".276",".443",".324","0.767","0.167",".358","7",".330","73.4","7.4","90.1","14",36.3,8.7,6.9,28.5
"Springer III, George",543807,2024,545,614,19,18.7,".220",".371",".303","0.674","0.151",".245","6",".298","71.9","7.4","87.5","9.4",29.2,9.3,4.4,25.3
"Dubón, Mauricio",643289,2024,402,428,4,12.9,".269",".361",".296","0.657","0.092",".299","2",".286","69.4","7.6","86.1","14.6",30.4,2.8,3.1,18.8
"Nola, Austin",543592,2023,130,154,1,20.1,".146",".192",".260","0.452","0.046",".184","2",".220","66.1","7.4","85.8","15",24.3,1,1.9,16.1
"Bailey, Patrick",672275,2024,401,448,8,22.3,".234",".339",".298","0.637","0.105",".287","0",".281","71.3","7.3","91.3","12.1",37.9,5.5,7.1,23.4
"Díaz, Aledmys",649557,2023,315,344,4,19.2,".229",".337",".280","0.617","0.108",".273","7",".268","70.8","7.6","87.8","11.3",27.6,2.8,7.1,22.3
"Gorman, Nolan",669357,2023,406,464,27,31.9,".236",".478",".328","0.806","0.242",".296","3",".345","74","7.5","91","22.2",38.8,16.5,7.3,35.6
"Taylor, Michael A.",572191,2024,269,300,5,35,".193",".290",".253","0.543","0.097",".288","0",".242","74","7.2","89.3","13.7",31.4,11.6,1.7,39.2
"Smith, Josh",669701,2024,523,592,13,20.4,".258",".394",".337","0.731","0.136",".311","18",".323","70.1","6.8","87.8","15.4",33.7,3.7,5.7,21.8
"Albies, Ozzie",645277,2024,399,435,10,14.9,".251",".404",".303","0.707","0.153",".274","5",".307","69.1","7.2","88.4","18.4",33.4,6.2,4.7,20.5
"Ibáñez, Andy",628451,2024,224,244,5,25.8,".241",".357",".295","0.652","0.116",".310","3",".287","70.1","7.3","88.1","20.3",33.7,4.9,5.5,30.8
"Smith, Will",669257,2024,476,544,20,19.3,".248",".433",".327","0.760","0.185",".273","9",".326","67.9","7.2","89.4","18.7",38.3,10.8,8.4,20.9
"Brown, Seth",664913,2023,343,378,14,26.7,".222",".405",".286","0.691","0.183",".270","2",".298","73.8","7.3","90.5","16.4",32.7,12.2,9.8,31.3
"Candelario, Jeimer",600869,2024,427,463,20,24.6,".225",".429",".279","0.708","0.204",".257","6",".304","68.4","7.8","86.9","12.4",33.9,8.2,5.7,29.1
