"last_name, first_name","player_id","year","ab","pa","home_run","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_hit_by_pitch","avg_swing_speed","avg_swing_length","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","solidcontact_percent"
"Cabrera, Oswaldo",665828,2024,299,326,8,".247",".365",".296","0.661","0.118",".286","1","68.3","7","88.2","12.5",34,3.7,5.8
"Tauchman, Mike",643565,2024,298,350,7,".248",".366",".357","0.723","0.118",".302","4","69.3","7","89","15.5",34.9,7.4,4.8
"Betts, Mookie",605141,2024,450,516,19,".289",".491",".372","0.863","0.202",".294","1","69","6.9","89.9","21.4",39.3,6,10.1
"Cooper, Garrett",643265,2024,107,116,1,".206",".299",".267","0.566","0.093",".296","2","72.9","7.8","85.9","12.7",47.2,9.7,6.9
"Wong, Connor",657136,2023,371,403,9,".235",".385",".287","0.672","0.150",".341","6","71.2","7.2","89.1","15.5",34,9.1,5.4
"Moustakas, Mike",519058,2023,352,386,12,".247",".392",".293","0.685","0.145",".296","3","71.6","7.3","89","18",28.3,5.7,4.5
"Hilliard, Sam",656541,2023,72,78,3,".236",".431",".295","0.726","0.195",".389","0","72.9","7.1","92.4","20.3",33.3,7.7,10.3
"Espinal, Santiago",669289,2024,357,391,9,".246",".356",".295","0.651","0.110",".265","2","66.5","7.3","85.9","15",35,1.9,4.2
"Canha, Mark",592192,2023,435,507,11,".262",".400",".355","0.755","0.138",".293","17","67.8","7.3","87.9","13.1",30.9,4.7,6.6
"Arenado, Nolan",571448,2024,578,635,16,".272",".394",".325","0.719","0.122",".296","5","70.7","8.2","86.3","16.9",35.9,3.2,5.1
"Westburg, Jordan",676059,2024,416,447,18,".264",".481",".312","0.793","0.217",".305","7","71","6.8","91.1","13.1",37.4,11.8,9
"Estrada, Thairo",642731,2024,364,381,9,".217",".343",".247","0.590","0.126",".249","5","71","7.2","86.2","10.5",30.3,4.8,5.9
"Aranda, Jonathan",666018,2024,128,143,6,".234",".430",".308","0.738","0.196",".264","2","70.1","7.3","91.9","11",34,16.5,8.2
"Walker, Jordan",691023,2023,420,465,16,".276",".445",".342","0.787","0.169",".331","6","74.9","7.8","89.4","10.2",33.6,7.5,7.9
"Larnach, Trevor",663616,2024,355,400,15,".259",".434",".338","0.772","0.175",".304","3","72.8","7.4","92","12.4",36.2,10.1,8.6
"Schneider, Davis",676914,2023,116,141,8,".276",".603",".404","1.007","0.327",".369","4","69.3","6.9","89.5","26",49.3,17.8,11
"Abrams, CJ",682928,2024,541,602,20,".246",".433",".314","0.747","0.187",".285","16","72.2","7.5","88.2","15.1",33,6.9,9.6
"Kiner-Falefa, Isiah",643396,2023,326,361,6,".242",".340",".306","0.646","0.098",".289","3","67.5","6.9","88.8","7.2",33.5,3.1,5
"Blanco, Dairon",680118,2024,120,132,4,".258",".392",".308","0.700","0.134",".318","1","74.1","7.5","89","8.6",26.7,7.8,10
"Carlson, Dylan",666185,2023,219,255,5,".219",".333",".318","0.651","0.114",".256","7","69.9","7","89.3","15",34.1,5.8,8.1
"McKenna, Ryan",663630,2023,122,139,2,".254",".361",".316","0.677","0.107",".354","3","73.4","7.3","91","13",31,6.9,4.6
"Tellez, Rowdy",642133,2024,383,421,13,".243",".392",".299","0.691","0.149",".280","2","74.4","8","89.4","17",32.4,8,5.7
"Mullins II, Cedric",656775,2023,404,455,15,".233",".416",".305","0.721","0.183",".271","1","71.1","7.6","88.9","21.6",28.1,6.5,3.5
"Thompson, Bubba",669352,2023,53,60,0,".170",".283",".237","0.520","0.113",".237","1",,,"82.1","3.6",23.1,2.6,5.1
"Marte, Ketel",606466,2024,504,583,36,".292",".560",".372","0.932","0.268",".299","5","73.7","7.6","94","9.4",33.7,12.3,7.4
"Alvarez, Francisco",682626,2024,308,342,11,".237",".403",".307","0.710","0.166",".291","2","73.5","7.2","88.8","6.9",27.2,6.7,6.7
"Thomas, Lane",657041,2024,472,528,15,".237",".400",".309","0.709","0.163",".298","7","71.7","6.8","88.8","17",31.5,7.4,7.1
"Díaz, Yandy",650490,2024,563,621,14,".281",".414",".341","0.755","0.133",".314","4","73.3","7.5","92.2","5",28.4,7.6,5.3
"Jimenez, Leo",677870,2024,179,210,4,".229",".358",".329","0.687","0.129",".311","16","69.7","7.4","87.6","12.3",40.7,8.1,7.3
"Carpenter, Kerry",681481,2024,264,296,18,".284",".587",".345","0.932","0.303",".328","4","71.5","7.5","90.5","17.6",40.1,17.7,5.7
"Julien, Edouard",666397,2023,338,408,16,".263",".459",".381","0.840","0.196",".371","2","71.1","6.8","89.5","8",38.8,13.1,7.5
"Volpe, Anthony",683011,2024,637,689,12,".243",".364",".293","0.657","0.121",".303","4","69.3","7.1","87.7","8.4",33.3,3.9,5.6
"Noel, Jhonkensy",678877,2024,179,198,13,".218",".486",".288","0.774","0.268",".250","5","78","7.7","88.6","19.3",30.8,14.5,4.3
"Profar, Jurickson",595777,2024,564,668,24,".280",".459",".380","0.839","0.179",".302","18","71.7","7.3","91.1","13.4",31.3,7.2,4.9
"O'Neill, Tyler",641933,2024,411,473,31,".241",".511",".336","0.847","0.270",".305","7","75.2","7.6","90.9","20.2",34.6,17.3,7.9
"Raleigh, Cal",663728,2023,513,569,30,".232",".456",".306","0.762","0.224",".273","1","75","7.8","89.5","20.3",36.5,12.6,7
"Smith, Josh",669701,2023,195,232,6,".185",".328",".304","0.632","0.143",".222","9","69.4","6.4","88.5","12.5",30.8,10.5,7.7
"Langeliers, Shea",669127,2024,482,534,29,".224",".450",".288","0.738","0.226",".252","5","74.1","7.3","91.3","16.3",35.3,12.8,5.2
"Bouchard, Sean",656248,2024,91,108,1,".187",".297",".290","0.587","0.110",".271","2","71.1","7.3","89.8","10.7",29.5,4.9,9.8
"Conine, Griffin",665052,2024,82,89,3,".268",".451",".326","0.777","0.183",".373","1","73","7.6","89.1","7",29.6,7.4,9.3
"Perez, Salvador",521692,2023,538,580,23,".255",".422",".292","0.714","0.167",".294","13","72.7","7.9","90.1","15.6",38,8.8,9.7
"Pagés, Pedro",686780,2024,202,218,7,".238",".376",".281","0.657","0.138",".295","0","72","6.9","89","11.8",32,4.8,8.2
"Busch, Michael",683737,2023,72,81,2,".167",".292",".247","0.539","0.125",".227","0","70.3","7.2","89.1","4.7",15.2,6.5,6.5
